Accession 	Parent Location 	Collected Location 	Method 	Order	Gene attempts	28S attempt	COI attempt	LCA order, if available	Combined order
NZAC03009172	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009173	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009174	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009175	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Isopoda	Both	28S	COI	Isopoda	Isopoda
NZAC03009176	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI		Hymenoptera
NZAC03009177	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009178	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009179	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03009180	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009185	Plot 1 	Subplot L 	Leaf Litter Collection 	Coleoptera	28S only	28S			Coleoptera
NZAC03009188	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009193	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009194	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009195	Plot 1 	Subplot L 	Leaf Litter Collection 	Hymenoptera	28S only	28S			Hymenoptera
NZAC03009196	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009197	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009201	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009202	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
